epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.339,2.18959,3.02665,1.43327,0.66381,0.75039,0.69692,0.29692,1.53548,28.0617,0.95147,0.000332753,0.000332753,0.000332753
2,271.087,1.94192,1.73142,1.28176,0.72592,0.73563,0.72349,0.32293,1.49792,21.451,0.94485,0.0006496,0.0006496,0.0006496
3,403.758,1.89356,1.63285,1.25281,0.7017,0.79215,0.76484,0.34139,1.46818,34.9772,0.92474,0.000949948,0.000949948,0.000949948
4,536.337,1.85392,1.54075,1.23029,0.7596,0.85003,0.8445,0.39128,1.43315,28.4995,0.91462,0.00092575,0.00092575,0.00092575
5,672.808,1.80256,1.42745,1.20573,0.86874,0.83619,0.87878,0.39311,1.46977,13.5045,0.92507,0.000901,0.000901,0.000901
6,810.108,1.77,1.34575,1.19419,0.88287,0.81437,0.89412,0.41581,1.46103,12.5417,0.91981,0.00087625,0.00087625,0.00087625
7,946.154,1.75061,1.29351,1.18256,0.89778,0.8755,0.91804,0.45142,1.37903,13.3103,0.88382,0.0008515,0.0008515,0.0008515
8,1083.38,1.7362,1.24816,1.17168,0.90232,0.86456,0.9095,0.43135,1.44243,6.68501,0.9033,0.00082675,0.00082675,0.00082675
9,1216.91,1.71414,1.20353,1.17069,0.93827,0.88447,0.93658,0.45383,1.39484,4.70629,0.88878,0.000802,0.000802,0.000802
10,1355.54,1.69553,1.16928,1.16294,0.95089,0.91021,0.94446,0.45706,1.39885,2.51026,0.89099,0.00077725,0.00077725,0.00077725
11,1497.85,1.67888,1.13919,1.14846,0.91405,0.90398,0.92413,0.4398,1.42257,16.9581,0.90296,0.0007525,0.0007525,0.0007525
12,1633.33,1.67826,1.10681,1.14474,0.96432,0.91255,0.95663,0.48008,1.35142,1.43953,0.87147,0.00072775,0.00072775,0.00072775
13,1770.27,1.6501,1.08929,1.13579,0.95985,0.93053,0.95895,0.48832,1.3481,2.40026,0.8722,0.000703,0.000703,0.000703
14,1908.2,1.64462,1.06795,1.1352,0.95483,0.93453,0.95779,0.4846,1.34858,3.51563,0.87631,0.00067825,0.00067825,0.00067825
15,2043.8,1.64201,1.04301,1.13884,0.95374,0.92901,0.95437,0.48614,1.34592,7.78593,0.87273,0.0006535,0.0006535,0.0006535
16,2180.2,1.62992,1.02671,1.13182,0.96204,0.93801,0.96042,0.50755,1.2968,1.42125,0.8546,0.00062875,0.00062875,0.00062875
